art_id,token
64,"[('되', 'VV+EC'), ('가', 'VX'), ('는데', 'EC')]"
64,"[('이직', 'NNG'), ('해야', 'XSV+EC'), ('할까요', 'VX+EC')]"
65,"[('개발자', 'NNG')]"
65,"[('취업', 'NNG'), ('은', 'JX')]"
65,"[('보통', 'NNG')]"
65,"[('어느', 'MM')]"
65,"[('플랫', 'NNG'), ('폼', 'NNG')]"
65,"[('쓰', 'VV'), ('세요', 'EP+EF')]"
66,"[('IntelliJ', 'SL')]"
66,"[('가격', 'NNG')]"
66,"[('인상', 'NNG'), ('하', 'XSV'), ('네요', 'EC')]"
66,"[('10', 'SN'), ('월', 'NNBC'), ('부터', 'JX')]"
67,"[('정적', 'NNG'), ('인', 'VCP+ETM')]"
67,"[('성향', 'NNG')]"
67,"[('감상', 'NNG'), ('적', 'XSN'), ('인', 'VCP+ETM')]"
67,"[('성향', 'NNG')]"
67,"[('갖', 'VV'), ('고', 'EC')]"
67,"[('있', 'VA'), ('으신', 'EP+ETM'), ('분', 'NNB'), ('은', 'JX')]"
67,"[('여', 'NP'), ('가', 'JKS'), ('활동', 'NNG')]"
67,"[('어떤', 'MM'), ('거', 'NNB')]"
67,"[('하', 'VV'), ('십니까', 'EP+EC')]"
68,"[('퇴근', 'NNG'), ('후', 'NNG'), ('에', 'JKB')]"
68,"[('공부', 'NNG'), ('안', 'MAG'), ('하', 'VV'), ('면', 'EC')]"
68,"[('개발자', 'NNG')]"
68,"[('안', 'MAG'), ('맞', 'VV'), ('는', 'ETM'), ('거', 'NNB'), ('죠', 'VCP+EC')]"
69,"[('네임', 'NNP'), ('벨류', 'NNP'), ('만', 'JX')]"
69,"[('보', 'VV'), ('고', 'EC')]"
69,"[('이직', 'NNG'), ('했', 'XSV+EP'), ('는데', 'EC')]"
69,"[('네임', 'NNP'), ('벨류', 'NNP'), ('가', 'JKS')]"
69,"[('전부', 'NNG'), ('는', 'JX')]"
69,"[('아니', 'VCN'), ('네요', 'EC')]"
70,"[('안녕', 'NNG'), ('하', 'XSV'), ('세요', 'EP+EF')]"
70,"[('핫픽스', 'NNP')]"
70,"[('전달', 'NNG'), ('이', 'VCP'), ('란', 'ETM'), ('게', 'NNB+JKS')]"
70,"[('무슨', 'MM')]"
70,"[('뜻', 'NNG'), ('일까요', 'VCP+EC')]"
71,"[('하', 'VV'), ('기', 'ETN')]"
71,"[('싫', 'VA'), ('은', 'ETM')]"
71,"[('작업', 'NNG')]"
71,"[('티', 'NNG')]"
71,"[('안', 'MAG'), ('내', 'VV'), ('고', 'EC')]"
71,"[('하', 'VV'), ('는', 'ETM')]"
71,"[('팁', 'NNG')]"
71,"[('있', 'VA'), ('나요', 'EC')]"
72,"[('안녕', 'NNG'), ('하', 'XSV'), ('세요', 'EP+EF')]"
72,"[('취준생', 'NNP')]"
72,"[('포폴', 'NNP'), ('에서', 'JKB')]"
72,"[('spring', 'SL')]"
72,"[('lombok', 'SL'), ('과', 'JC')]"
72,"[('같', 'VA'), ('은', 'ETM')]"
72,"[('외부', 'NNG')]"
72,"[('라이브러리', 'NNG')]"
72,"[('사용', 'NNG'), ('해도', 'XSV+EC')]"
72,"[('괜찮', 'VA'), ('을까요', 'EC')]"
73,"[('날', 'NNG'), ('은', 'JX')]"
73,"[('엄청', 'MAG')]"
73,"[('덥', 'VA'), ('고', 'EC')]"
73,"[('비', 'NNG'), ('는', 'JX')]"
73,"[('오다', 'NNG')]"
